link,title,location,price,area,category,direction,floor_num,toilet_num,street,livingroom_num,bedroom_num,liability,status
https://nhadat.cafeland.vn/nha-go-vap-gia-re-nguyen-thai-son-1-tret-2-lau-btct-2248817.html,Nhà Gò Vấp giá rẻ Nguyễn Thái Sơn 1 trệt 2 lầu BTCT.,"Nguyễn Thái Sơn, Phường 3, Quận Gò Vấp, TP. Hồ Chí Minh Lưu tin","~94,8 triệu /m2",39m2,Bán nhà riêng,,3 tầng,3.0,3m,1.0,3 phòng,Sổ hồng,processed
https://nhadat.cafeland.vn/ban-shophouse-novaword-phan-thiet-mat-tien-bien-dep-day-florida-1-2229657.html,Bán shophouse Novaword Phan Thiết Mặt Tiền Biển Đẹp dãy Florida 1,"Hàm Tiến, Phan Thiết, Bình Thuận Lưu tin","~63,3 triệu /m2",120m2,Bán nhà phố dự án,Đông Nam,1 tầng,3.0,20m - 30m,1.0,3 phòng,Hợp đồng,processed
https://nhadat.cafeland.vn/ban-nha-nho-hxh-p3-go-vap-setup-san-chi-can-don-vao-o-ngay-2263699.html,"BÁN NHÀ NHỐ HXH –P.3, GÒ VẤP – SETUP SẴN, CHỈ CẦN DỌN VÀO Ở NGAY","842/1/84, Nguyễn Kiệm, Phường 3, Quận Gò Vấp, TP. Hồ Chí Minh Lưu tin",,360m2,Bán nhà riêng,Đông Nam,3 tầng,3.0,8m,1.0,5 phòng,Sổ hồng,processed
https://nhadat.cafeland.vn/chinh-chu-ban-dat-mt-duong-duyen-hai-long-hoa-can-gio-tphcm-125m25x25-688tr-2271053.html,"Chính chủ bán đất MT Đường Duyên Hải ,Long Hòa Cần Giờ TpHCM 125m2(5x25) 688tr","Duyên Hải, Long Hòa, Huyện Cần Giờ, TP. Hồ Chí Minh Lưu tin","~5,5 triệu /m2",125m2,Bán đất thổ cư,,,,,,,,processed
https://nhadat.cafeland.vn/ban-lo-truc-chinh-du-an-bach-khoa-q9-gia-74-trm2-truc-trong-gia-69trm2-182m2-2233889.html,"Bán lô trục chính dự án Bách Khoa Q9 giá 74 tr/m2, trục trong giá 69tr/m2, 182m2","Liên Phường, Phước Long B, Quận 9, TP. Hồ Chí Minh Lưu tin","~65,9 triệu /m2",182m2,Bán đất thổ cư,Nam,,,10m - 15m,,,Giấy đỏ,processed
https://nhadat.cafeland.vn/chi-2-can-block-a-mat-tien-elysian-gamuda-land-thanh-toan-5-ky-hdmb-ngay-2269749.html,Chỉ 2 căn Block A mặt tiền Elysian (Gamuda Land) thanh toán 5% ký HĐMB ngay,"170, Đường Lò Lu, Trường Thạnh , Quận 9, TP. Hồ Chí Minh Lưu tin","~66,7 triệu /m2",88.67m2,Bán căn hộ chung cư,,,,,,,,processed
https://nhadat.cafeland.vn/can-ho-cao-cap-la-pura-binh-duong-chi-thanh-toan-10-250-trieu-nhan-nha-full-nt-2270629.html,Căn hộ cao cấp La Pura Bình Dương chỉ Thanh toán 10%= 250 triệu nhận nhà full nt,"Bình Hoà, Thuận An, Bình Dương Lưu tin","~3,4 triệu /m2",73m2,Bán nhà riêng,,,,,,,,processed
https://nhadat.cafeland.vn/ban-nha-mat-pho-an-cu-lau-dai-tai-can-duoc-long-an-2271062.html,Bán Nhà Mặt Phố An Cư Lâu Dài tại Cần Đước - Long An,"Trương Định, TT. Cần Đước, Cần Đước, Long An Lưu tin","~26,3 triệu /m2",95m2,Bán nhà riêng,Tây,1 tầng,2.0,4m,1.0,2 phòng,Sổ hồng,processed
https://nhadat.cafeland.vn/top-nha-vi-tri-dep-4-x-20m-1-tret-5-lau-ly-chinh-thang-q3-tphcm-2270499.html,Top nhà vị trí đẹp 4 x 20m 1 trệt 5 lầu Lý Chính Thắng Q3 TP.HCM,"Lý Chính Thắng, Phường 9, Quận 3, TP. Hồ Chí Minh Lưu tin",~250 triệu/m2,80m2,Bán nhà riêng,Đông Bắc,5 tầng,4.0,4m,1.0,6 phòng,Sổ hồng,processed
https://nhadat.cafeland.vn/dat-mat-tien-duong-bui-thi-xuan-gan-nga-tu-chieu-lieu-xay-tu-do-121-tan-binh-2243337.html,"Đất mặt tiền đường Bùi Thị Xuân, gần ngã tư Chiêu Liêu, xây tự do, 121 Tân Bình","Bùi Thị Xuân, Tân Bình, Dĩ An, Bình Dương Lưu tin","~37,3 triệu /m2",99.1m2,Bán đất thổ cư,Bắc,,,15m - 20m,,,Sổ hồng,processed
